stock_code,description,category,units_sold,revenue,est_profit,n_orders,first_sold,last_sold,sales_velocity,days_since_sale,movement,restock_recommended
16047,POP ART PEN CASE & PENS,Stationery & Craft,244,225.26,80.08,29,2009-12-01 12:13:00,2010-10-24 11:17:00,5.2392638036809815,411,Dormant,False
16048,TEATIME ROUND PENCIL SHARPENER,Stationery & Craft,3461,537.06,246.336,105,2009-12-07 18:02:00,2011-12-08 09:28:00,33.18767123287671,1,Medium,False
16049,TEATIME GEL PENS ASST,Stationery & Craft,3169,560.48,-371.206,32,2009-12-04 15:26:00,2011-05-25 11:44:00,41.38619402985075,198,Dormant,False
16050,TEATIME PENCIL WITH RUBBER,Stationery & Craft,151,46.45,4.170000000000005,8,2010-02-16 17:24:00,2010-04-19 11:13:00,17.32786885245902,599,Dormant,False
16051,TEATIME PENCIL W STAMP ASST,Stationery & Craft,941,84.69,-191.964,4,2009-12-10 15:45:00,2010-06-09 13:08:00,36.59444444444444,547,Dormant,False
16052,TEATIME PUSH DOWN RUBBER,Other,848,281.32,32.00800000000001,35,2009-12-16 17:01:00,2011-06-09 19:33:00,10.992592592592594,182,Dormant,False
16053,POPART COL BALLPOINT PEN ASST,Stationery & Craft,4313,185.73,-448.281,10,2010-01-07 14:20:00,2010-11-16 12:50:00,96.76602564102564,388,Dormant,False
16054,POPART RECT PENCIL SHARPENER ASST,Stationery & Craft,1210,159.0,57.36000000000001,39,2010-01-07 14:20:00,2011-12-04 13:59:00,12.187050359712227,4,Slow,False
16119,FUNKY GIRL ADDRESS BOOK,Other,273,130.71,-108.165,8,2009-12-10 16:21:00,2009-12-22 14:15:00,173.72727272727272,716,Dormant,False
16151A,FLOWERS HANDBAG BLUE AND ORANGE,Bags & Accessories,52,72.5,27.0,5,2010-04-30 15:39:00,2011-05-25 10:02:00,0.93573264781491,198,Dormant,False
16156L,"WRAP, CAROUSEL",Stationery & Craft,950,399.0,119.7,36,2010-01-10 12:25:00,2011-12-02 10:22:00,9.637681159420293,7,Slow,False
16156N,"WRAP, FRIENDSHIP ON GREEN",Stationery & Craft,1475,619.5,185.85,56,2009-12-01 11:51:00,2010-06-21 14:25:00,51.113861386138616,535,Dormant,False
16156S,WRAP PINK FAIRY CAKES,Kitchen & Dining,16661,6558.62,1660.286,419,2009-12-01 18:35:00,2011-12-08 12:29:00,158.46059782608697,1,Fast,True
16161C,WRAP SPEED DEMONS,Stationery & Craft,450,45.0,13.500000000000009,2,2009-12-01 12:56:00,2009-12-22 12:01:00,157.5,717,Dormant,False
16161E,WRAP BOUDOIR,Stationery & Craft,750,75.0,22.50000000000001,9,2009-12-07 13:48:00,2010-02-22 17:10:00,68.18181818181819,654,Dormant,False
16161G,WRAP BAD HAIR DAY,Jewellery,975,97.5,29.25000000000001,33,2010-01-19 17:12:00,2011-11-24 11:19:00,10.141158989598813,15,Slow,False
16161M,WRAP  PINK FLOCK,Stationery & Craft,1050,439.0,130.3,39,2009-12-03 12:10:00,2010-12-02 18:15:00,20.192307692307693,371,Dormant,False
16161P,WRAP ENGLISH ROSE,Stationery & Craft,13198,5435.4,1555.188,440,2009-12-01 09:28:00,2011-12-07 11:43:00,125.52445652173914,2,Fast,True
16161U,WRAP SUKI AND FRIENDS,Stationery & Craft,10026,4084.92,1137.276,318,2009-12-01 14:40:00,2011-12-02 16:34:00,96.00820793433653,6,Fast,True
16162L,THE KING GIFT BAG,Bags & Accessories,8101,570.4300000000001,-3115.525,30,2009-12-09 12:45:00,2011-09-13 11:14:00,88.32866043613707,87,Fast,False
16162M,THE KING GIFT BAG 25X24X12CM,Bags & Accessories,88,36.96,11.088,13,2010-06-14 12:39:00,2011-11-27 13:26:00,1.1600753295668549,11,Slow,False
16168M,FUNKY MONKEY GIFT BAG MEDIUM,Bags & Accessories,1686,512.38,16.696000000000023,101,2009-12-09 14:31:00,2011-12-08 16:22:00,16.189300411522634,0,Medium,False
16168S,FUNKY MONKEY GIFT BAG SMALL,Bags & Accessories,1283,126.82999999999998,-133.61899999999997,11,2009-12-10 11:55:00,2010-02-05 15:04:00,157.56140350877197,671,Dormant,False
16169A,WRAP CHRISTMAS DECOUPAGE,Christmas & Seasonal,25,10.5,3.15,1,2010-04-29 18:18:00,2010-04-29 18:18:00,25.0,588,Dormant,False
16169C,WRAP BLUE REINDEER,Christmas & Seasonal,1350,567.0,170.1,43,2009-12-01 12:52:00,2010-11-04 18:34:00,27.958579881656807,399,Dormant,False
16169D,WRAP WINTER FOREST,Stationery & Craft,250,105.0,31.5,9,2009-12-01 12:52:00,2009-12-13 12:04:00,159.0909090909091,726,Dormant,False
16169E,WRAP 50'S  CHRISTMAS,Christmas & Seasonal,4563,1892.46,550.938,149,2011-07-21 13:06:00,2011-12-09 10:20:00,228.15,0,Fast,True
16169F,WRAP BLIZZARD,Stationery & Craft,975,409.5,122.85,34,2009-12-01 11:50:00,2010-10-17 16:08:00,21.328125,417,Dormant,False
16169G,WRAP ROMANTIC DECOUPAGE,Stationery & Craft,25,10.5,3.15,1,2009-12-10 14:28:00,2009-12-10 14:28:00,25.0,728,Dormant,False
16169K,WRAP FOLK ART,Stationery & Craft,2075,658.75,48.70000000000001,60,2009-12-04 10:00:00,2011-09-28 16:07:00,21.907993966817497,71,Medium,False
16169M,WRAP DAISY CARPET,Stationery & Craft,2060,640.95,35.31000000000001,59,2009-12-03 10:37:00,2011-12-02 10:22:00,19.807692307692307,7,Medium,False
16169N,WRAP BLUE RUSSIAN FOLKART,Stationery & Craft,2025,626.25,30.900000000000013,56,2009-12-01 09:28:00,2010-12-06 12:06:00,38.310810810810814,368,Dormant,False
16169P,WRAP GREEN RUSSIAN FOLKART,Stationery & Craft,1750,533.75,19.25000000000001,48,2009-12-04 10:00:00,2010-12-19 11:35:00,32.23684210526316,355,Dormant,False
16192,PINK BALLET OPENING CUBE BOX,Home Decor,3,12.9,3.87,1,2009-12-18 17:06:00,2009-12-18 17:06:00,3.0,720,Dormant,False
16201A,PASTEL PINK PHOTO ALBUM,Other,101,213.37,75.505,9,2009-12-02 16:18:00,2010-09-09 11:00:00,2.525,456,Dormant,False
16201B,PASTEL BLUE PHOTO ALBUM,Other,34,81.1,-0.5339999999999931,5,2009-12-02 16:18:00,2009-12-10 09:49:00,34.0,729,Dormant,False
16202A,PASTEL PINK PHOTO ALBUM,Other,662,290.45,-2281.42,21,2009-12-02 14:43:00,2011-04-17 13:43:00,9.268,235,Dormant,False
16202B,PASTEL BLUE PHOTO ALBUM,Other,1039,528.56,-3507.955,22,2009-12-02 14:55:00,2011-04-19 14:49:00,14.48804780876494,233,Dormant,False
16202C,BEIGE PHOTO ALBUM,Other,97,230.59,98.185,12,2009-12-02 16:49:00,2010-05-06 12:40:00,4.409090909090909,582,Dormant,False
16202E,BLACK PHOTO ALBUM,Other,82,162.73,50.8,14,2009-12-02 16:18:00,2011-04-17 13:43:00,1.148,235,Dormant,False
16206B,RED PURSE WITH PINK HEART,Bags & Accessories,96,116.4,32.4,16,2010-01-31 16:02:00,2011-01-26 12:29:00,1.871866295264624,317,Dormant,False
16207A,PINK STRAWBERRY HANDBAG,Bags & Accessories,143,423.53,128.235,76,2009-12-01 11:34:00,2011-11-06 16:14:00,1.419858156028369,32,Slow,False
16207B,PINK HEART RED HANDBAG,Bags & Accessories,265,457.65,-7.954999999999914,46,2009-12-11 13:49:00,2011-08-30 10:49:00,2.963258785942492,101,Dormant,False
16212,FUNKY GIRLZ ASST MAGNETIC MEMO PAD,Other,366,287.01,120.48000000000002,37,2009-12-02 10:02:00,2010-11-12 13:43:00,7.426086956521739,391,Dormant,False
16215,FUNKY GIRLZ MAGNETIC TO DO LIST,Other,8,5.2,1.5600000000000005,3,2009-12-03 11:46:00,2009-12-03 17:57:00,8.0,735,Dormant,False
16216,LETTER SHAPE PENCIL SHARPENER,Stationery & Craft,4158,371.64,-94.05599999999995,88,2009-12-04 15:16:00,2011-12-07 12:41:00,39.76229508196722,2,Medium,False
16218,CARTOON  PENCIL SHARPENERS,Stationery & Craft,4629,448.13,-70.31799999999996,98,2009-12-08 15:49:00,2011-12-09 10:03:00,44.38767123287671,0,Medium,False
16219,HOUSE SHAPE PENCIL SHARPENER,Stationery & Craft,3357,499.55,6.070999999999993,128,2009-12-06 11:13:00,2011-12-08 09:20:00,32.14637482900137,1,Medium,False
16225,RATTLE SNAKE EGGS,Kitchen & Dining,1520,1271.66,-58.33999999999999,165,2009-12-01 11:45:00,2011-12-09 10:03:00,14.436906377204885,0,Medium,False
16235,RECYCLED PENCIL WITH RABBIT ERASER,Stationery & Craft,5827,1333.95,477.381,310,2009-12-01 11:58:00,2011-12-09 10:03:00,55.34464043419267,0,Fast,True
16236,KITTY PENCIL ERASERS,Stationery & Craft,2652,593.29,203.446,260,2009-12-02 14:36:00,2011-12-08 11:43:00,25.257142857142856,1,Medium,False
16237,SLEEPING CAT ERASERS,Other,10385,2233.15,706.5550000000001,580,2009-12-01 12:18:00,2011-12-09 10:03:00,98.63636363636364,0,Fast,True
16238,PARTY TIME PENCIL ERASERS,Stationery & Craft,2447,559.54,199.831,236,2009-12-01 16:17:00,2011-12-08 11:43:00,23.27309782608696,1,Medium,False
16239,BALLERINA HEART DECORATION.,Home Decor,347,492.17,-224.385,21,2009-12-02 14:43:00,2010-03-02 12:24:00,27.292134831460675,647,Dormant,False
16243B,BROWN COZY SQUARE PHOTO ALBUM,Other,212,441.77,-454.5659999999999,8,2009-12-02 14:36:00,2010-03-11 10:13:00,15.142857142857142,638,Dormant,False
16244A,MAXWELL 2 TONE PINK 60 PAGE PHOTO A,Other,186,479.41,-68.73199999999994,28,2009-12-02 14:36:00,2010-03-15 15:58:00,12.640776699029129,633,Dormant,False
16244B,MAXWELL 2 TONE BLUE 60 PAGE PHOTO A,Other,345,765.02,-251.69499999999988,28,2009-12-03 14:39:00,2011-05-11 15:16:00,4.608778625954198,211,Dormant,False
16245A,PINK MINI STATIONERY SET W CASE,Other,11,13.75,4.125,7,2010-03-10 12:10:00,2010-07-12 11:59:00,0.6260162601626016,515,Dormant,False
16248B,BLUE HOLE PUNCH,Other,81,101.25,30.375,12,2010-09-20 12:54:00,2011-10-30 15:55:00,1.4,39,Slow,False
16254,TRANSPARENT ACRYLIC TAPE DISPENSER,Stationery & Craft,941,305.66,-768.0209999999998,40,2010-01-11 09:30:00,2011-11-30 14:17:00,9.574127906976743,8,Slow,False
16256B,FLOWER PENCIL/RUBBER+5 MINI PENCILS,Stationery & Craft,524,232.35,78.294,35,2009-12-04 09:43:00,2010-06-10 18:50:00,19.51063829787234,546,Dormant,False
16256C,HEARTS PENCIL/RUBBER+5 MINI PENCILS,Stationery & Craft,169,70.98,21.294,10,2009-12-13 15:17:00,2010-05-23 13:16:00,7.39375,564,Dormant,False
16258A,SWIRLY CIRCULAR RUBBERS IN BAG,Bags & Accessories,1063,375.93,63.408,101,2009-12-11 15:40:00,2011-12-08 09:39:00,10.24931129476584,1,Slow,False
16258B,DAISY ERASERS IN BAG,Bags & Accessories,1016,221.06,4.144000000000004,15,2009-12-02 11:52:00,2009-12-22 12:01:00,355.6,717,Dormant,False
16259,PIECE OF CAMO STATIONERY SET,Other,5473,766.09,-38.44099999999997,55,2009-12-07 13:24:00,2011-11-13 11:55:00,54.34184397163121,26,Fast,False
17001,HEAVENS SCENT FRAGRANCE OILS ASSTD,Candles & Fragrance,1211,299.35,53.517,23,2009-12-04 14:24:00,2011-02-28 14:48:00,18.7960088691796,283,Dormant,False
17003,BROCADE RING PURSE,Bags & Accessories,56905,12208.26,656.5450000000008,455,2009-12-01 16:17:00,2011-12-08 16:30:00,540.4816824966078,0,Fast,True
17007B,S/3 POT POURI CUSHIONS BLUE COLOURS,Home Decor,34,71.4,21.420000000000005,6,2009-12-14 12:24:00,2011-06-08 14:35:00,0.4399260628465803,183,Dormant,False
17011A,ORIGAMI VANILLA INCENSE+FLOWER,Candles & Fragrance,261,179.56,-396.8585,12,2009-12-22 09:41:00,2010-08-20 09:23:00,7.6125,476,Dormant,False
17011B,ORIGAMI JASMINE INCENSE+FLOWER,Candles & Fragrance,19,11.1,-4.859999999999999,2,2010-05-30 11:02:00,2010-08-20 09:23:00,1.6419753086419753,476,Dormant,False
17011C,ORIGAMI LAVENDER INCENSE+FLOWER,Candles & Fragrance,335,221.4,-358.9875,2,2009-12-14 18:03:00,2009-12-16 12:39:00,335.0,723,Dormant,False
17011D,ORIGAMI ROSE INCENSE+FLOWER,Candles & Fragrance,209,135.70000000000002,-65.46249999999998,4,2009-12-15 18:33:00,2010-08-20 09:23:00,5.923076923076923,476,Dormant,False
17011E,ORIGAMI OPIUM SCENT INCENSE+FLOWER,Candles & Fragrance,124,80.60000000000001,24.180000000000007,1,2009-12-16 12:39:00,2009-12-16 12:39:00,124.0,723,Dormant,False
17011F,ORIGAMI SANDLEWOOD INCENSE+FLOWER,Candles & Fragrance,385,336.20000000000005,-229.75,20,2009-12-16 12:39:00,2011-05-19 12:10:00,5.202702702702703,204,Dormant,False
17012A,ORIGAMI VANILLA INCENSE/CANDLE SET,Candles & Fragrance,726,806.16,-444.012,95,2009-12-01 14:28:00,2011-12-02 14:25:00,6.961643835616438,6,Slow,False
17012B,ORIGAMI JASMINE INCENSE/CANDLE SET,Candles & Fragrance,721,867.4499999999999,-374.112,126,2009-12-08 15:49:00,2011-11-30 14:17:00,7.0,8,Slow,False
17012C,ORIGAMI LAVENDER INCENSE/CANDL SET,Candles & Fragrance,856,950.4,-523.6320000000001,113,2010-02-05 11:32:00,2011-12-08 12:50:00,8.929955290611028,1,Slow,False
17012D,ORIGAMI ROSE INCENSE/CANDLE SET,Candles & Fragrance,520,658.7199999999999,-236.72000000000003,116,2010-03-12 11:19:00,2011-12-08 16:30:00,5.723270440251572,0,Slow,False
17012E,ORIGAMI OPIUM INCENSE/CANDLE SET,Candles & Fragrance,263,296.79,-165.30099999999993,29,2009-12-16 12:39:00,2010-12-15 15:34:00,5.057692307692308,358,Dormant,False
17012F,ORIGAMI SANDLEWOOD INCENSE/CAND SET,Candles & Fragrance,586,680.65,-328.442,107,2010-03-03 11:53:00,2011-12-08 19:24:00,6.35968992248062,0,Slow,False
17013B,ORIGAMI JASMINE INCENSE IN TUBE,Candles & Fragrance,256,221.03,-6.553999999999981,3,2009-12-09 09:42:00,2009-12-16 12:39:00,256.0,723,Dormant,False
17013C,ORIGAMI LAVENDER INCENSE IN TUBE,Candles & Fragrance,213,89.46000000000001,26.838,2,2009-12-16 12:39:00,2010-03-03 11:53:00,19.61842105263158,646,Dormant,False
17013D,ORIGAMI ROSE INCENSE IN TUBE,Candles & Fragrance,1068,572.4,-661.1399999999999,31,2009-12-09 09:42:00,2011-06-07 10:05:00,13.71743119266055,185,Dormant,False
17013F,ORIGAMI SANDLEWOOD INCENSE IN TUBE,Candles & Fragrance,62,26.7,-44.90999999999999,5,2009-12-21 17:20:00,2010-08-20 09:23:00,1.800829875518672,476,Dormant,False
17014A,ORIGAMI VANILLA INCENSE CONES,Candles & Fragrance,276,170.13,-148.64999999999998,16,2009-12-09 09:42:00,2011-06-27 13:58:00,3.419469026548673,164,Dormant,False
17014C,ORIGAMI LAVENDER INCENSE CONES,Candles & Fragrance,97,43.75,-86.9575,2,2009-12-05 14:57:00,2009-12-10 09:49:00,97.0,729,Dormant,False
17014D,ORIGAMI ROSE INCENSE CONES,Candles & Fragrance,479,204.36,-348.8849999999999,8,2010-01-14 09:41:00,2010-08-20 09:23:00,15.451612903225806,476,Dormant,False
17014E,ORIGAMI OPIUM INCENSE CONES,Candles & Fragrance,95,36.6,-73.12499999999999,6,2010-05-10 11:05:00,2010-08-20 09:23:00,6.584158415841584,476,Dormant,False
17014F,ORIGAMI SANDLEWOOD INCENSE CONES,Candles & Fragrance,61,23.7,-46.75499999999998,4,2010-01-21 13:33:00,2010-08-20 09:23:00,2.033333333333333,476,Dormant,False
17021,NAMASTE SWAGAT INCENSE,Candles & Fragrance,3720,984.24,203.04,76,2010-01-22 14:40:00,2011-12-05 12:59:00,38.23788546255506,3,Medium,False
17027A,INCENSE BAZAAR CANNABIS,Candles & Fragrance,228,84.84,28.182,2,2010-02-04 13:47:00,2010-03-10 11:21:00,48.36363636363636,639,Dormant,False
17028J,INCENSE BAZAAR PEACH,Candles & Fragrance,6,2.52,0.756,1,2011-01-31 15:27:00,2011-01-31 15:27:00,6.0,311,Dormant,False
17033,"BROCADE PURSE,SMALL ARCH BUTTON",Bags & Accessories,3280,867.8399999999999,202.0,69,2009-12-02 12:32:00,2010-10-19 12:48:00,71.52647975077882,416,Dormant,False
17038,PORCELAIN BUDAH INCENSE HOLDER,Candles & Fragrance,2559,254.51,75.38000000000004,55,2009-12-14 15:57:00,2011-12-09 10:03:00,24.74171270718232,0,Medium,False
17039,INLAID WOOD INCENSE HOLDER,Candles & Fragrance,3707,837.88,85.35900000000001,43,2009-12-02 14:43:00,2010-08-09 09:23:00,104.2128514056225,487,Dormant,False
17061,ASSORTED SHAPED STENCIL FOR HENNA,Other,52,2.08,0.6240000000000002,1,2009-12-07 13:48:00,2009-12-07 13:48:00,52.0,731,Dormant,False
17084A,TRANQUILITY MASALA INCENSE,Candles & Fragrance,442,92.82,27.846,18,2010-02-04 12:08:00,2011-09-13 14:53:00,5.279863481228669,86,Slow,False
17084G,MOON INCENSE,Candles & Fragrance,50,10.5,3.15,2,2009-12-02 16:02:00,2009-12-07 13:48:00,50.0,731,Dormant,False
17084J,LOVE POTION MASALA INCENSE,Candles & Fragrance,456,95.76,28.728,20,2009-12-01 13:31:00,2011-09-13 14:53:00,4.903225806451613,86,Slow,False
17084N,FAIRY DREAMS INCENSE,Candles & Fragrance,2768,640.26,-173.53199999999995,187,2009-12-02 16:02:00,2011-12-09 10:03:00,26.326086956521745,0,Medium,False
17084P,DRAGONS BLOOD INCENSE,Candles & Fragrance,990,222.75,-68.30999999999999,70,2009-12-07 13:48:00,2011-12-08 16:30:00,9.48016415868673,0,Slow,False
17084R,ASSORTED INCENSE PACK,Candles & Fragrance,10625,1968.45,406.5750000000001,66,2009-12-02 11:51:00,2011-12-05 12:30:00,101.46657571623466,4,Fast,True
17090A,LAVENDER INCENSE 40 CONES IN TIN,Candles & Fragrance,173,182.65,31.275,26,2009-12-10 20:04:00,2011-11-24 10:24:00,1.6984572230014026,15,Slow,False
17090D,VANILLA INCENSE 40 CONES IN TIN,Candles & Fragrance,88,105.2,28.2,28,2009-12-13 11:34:00,2011-07-11 11:38:00,1.071304347826087,151,Dormant,False
17091A,LAVENDER INCENSE IN TIN,Candles & Fragrance,2085,1285.89,-538.485,117,2009-12-06 14:10:00,2011-05-18 11:58:00,27.694497153700187,205,Dormant,False
17091B,JASMINE TEA INCENSE IN TIN,Candles & Fragrance,276,316.98,75.47999999999999,51,2009-12-06 14:10:00,2010-09-09 19:23:00,6.974729241877257,455,Dormant,False
17091F,SANDALWOOD INCENSE IN TIN,Candles & Fragrance,19,27.71,11.085,8,2009-12-06 14:10:00,2010-01-10 12:25:00,3.911764705882353,698,Dormant,False
17091J,VANILLA INCENSE IN TIN,Candles & Fragrance,3964,2204.35,1149.9260000000002,178,2009-12-01 12:13:00,2011-12-09 11:20:00,37.64993215739485,0,Medium,False
17096,ASSORTED LAQUERED INCENSE HOLDERS,Candles & Fragrance,6240,1117.09,-717.4699999999999,76,2009-12-02 14:36:00,2011-07-19 15:30:00,73.53535353535354,142,Dormant,False
17107D,"FLOWER FAIRY,5 SUMMER B'DRAW LINERS",Other,315,803.25,240.97500000000005,86,2009-12-04 09:49:00,2011-12-05 15:51:00,3.0164158686730507,3,Slow,False
17108D,FLOWER FAIRY SUMMER BOUQUET SACHET,Other,355,149.1,44.73,23,2009-12-01 12:56:00,2010-03-28 14:53:00,21.23931623931624,620,Dormant,False
17109A,FLOWER FAIRY INCENSE LILY,Candles & Fragrance,709,333.61,-505.1369999999999,13,2009-12-02 11:45:00,2010-03-26 14:29:00,43.53508771929825,622,Dormant,False
